feature,overall_mean,overall_std,cv,p_kruskal,p_anova,significant
TGS2600_mean,2808.922975410954,32.3096603556758,0.011502508484034632,0.09424829189008681,0.38550040063183605,False
TGS2600_median,2808.936111111111,32.288245718956254,0.011494830940164291,0.09515728971253523,0.36790330693183354,False
TGS2600_auc,502844.725,5848.961318111803,0.01163174440800148,0.09603084369357667,0.37415073500998447,False
MQ135_min,2823.4944444444445,33.06477428582139,0.011710585919823038,0.10424427714387058,0.11989494253833534,False
TGS2600_max,2813.8444444444444,34.45551292896412,0.01224499563114785,0.11113892273186037,0.3811879201226488,False
MQ9_max,2821.2444444444445,35.80278417160092,0.012690422569405701,0.16516904092682905,0.19220167007876607,False
TGS2600_min,2804.238888888889,30.607693174104107,0.010914795203564394,0.16553751736498515,0.4121663951935769,False
MQ9_initial,2817.85,36.68124435117814,0.013017458115643175,0.17301975569165678,0.1902944356882814,False
MQ9_mean,2815.9904158993245,34.4637811107563,0.012238600286477747,0.18394680736740945,0.22609299015241932,False
MQ9_median,2815.863888888889,34.44138533651339,0.012231196782061571,0.18621222888548136,0.22199049276942925,False
MQ9_auc,504109.9972222222,6238.344588982408,0.01237496701782806,0.1872733098643283,0.22241039143497698,False
MQ9_min,2811.411111111111,32.80887413829104,0.011669895593929277,0.20895950116038003,0.2603554705438457,False
MQ9_final,2813.9777777777776,32.57273006116454,0.011575333081299573,0.21107629094067218,0.25872787411512943,False
TGS2611_initial,8666.977777777778,1035.8746713280254,0.11951971008670396,0.23768873230028578,0.009203082918708383,False
TGS2611_min,8633.222222222223,1029.1904860066743,0.11921278747550154,0.2419918629539201,0.0066010485230267694,False
TGS2600_final,2807.016666666667,30.153142641741084,0.010742060423010315,0.2557046880174501,0.4448303493692973,False
TGS2600_initial,2810.6555555555556,34.364025983760094,0.012226338412696556,0.2634843674453071,0.38614599100868574,False
TGS2600_var,6.932033012183351,14.89181463605986,2.1482607782938405,0.28593213421764924,0.38466074845979525,False
TGS2600_std,2.1431784122348625,1.5335857769142052,0.715566080473649,0.28596483568718695,0.29024150187323555,False
TGS2600_range,9.605555555555556,5.452176257845761,0.567606550786621,0.33607156495547874,0.4035477725583322,False
TGS822_delta,2936.016666666667,1588.7744318346126,0.5411326338408858,0.6289166415499585,0.24647158389325646,False
TGS2620_delta,408.50555555555553,375.8750609198186,0.9201222744883346,0.7542447156375092,0.3368481706362822,False
TGS813_delta,937.7111111111111,705.8418761066799,0.7527284978734678,0.7635948615933535,0.4057908480983673,False
TGS816_delta,673.55,484.1056521073005,0.718737513334692,0.7933339830156491,0.7455770791864661,False
MQ8_delta,999.2222222222222,678.5858492561399,0.6791140490714053,0.8199303287732389,0.5666455393227597,False
